DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group1Group4,DIF_a_Group1Group5,DIF_a_Group1Group6,DIF_a_Group1Group7,DIF_a_Group1Group8,DIF_a_Group1Group9,DIF_a_Group1Group10,DIF_a_Group2Group3,DIF_a_Group2Group4,DIF_a_Group2Group5,DIF_a_Group2Group6,DIF_a_Group2Group7,DIF_a_Group2Group8,DIF_a_Group2Group9,DIF_a_Group2Group10,DIF_a_Group3Group4,DIF_a_Group3Group5,DIF_a_Group3Group6,DIF_a_Group3Group7,DIF_a_Group3Group8,DIF_a_Group3Group9,DIF_a_Group3Group10,DIF_a_Group4Group5,DIF_a_Group4Group6,DIF_a_Group4Group7,DIF_a_Group4Group8,DIF_a_Group4Group9,DIF_a_Group4Group10,DIF_a_Group5Group6,DIF_a_Group5Group7,DIF_a_Group5Group8,DIF_a_Group5Group9,DIF_a_Group5Group10,DIF_a_Group6Group7,DIF_a_Group6Group8,DIF_a_Group6Group9,DIF_a_Group6Group10,DIF_a_Group7Group8,DIF_a_Group7Group9,DIF_a_Group7Group10,DIF_a_Group8Group9,DIF_a_Group8Group10,DIF_a_Group9Group10,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group1Group4,DIF_b_Group1Group5,DIF_b_Group1Group6,DIF_b_Group1Group7,DIF_b_Group1Group8,DIF_b_Group1Group9,DIF_b_Group1Group10,DIF_b_Group2Group3,DIF_b_Group2Group4,DIF_b_Group2Group5,DIF_b_Group2Group6,DIF_b_Group2Group7,DIF_b_Group2Group8,DIF_b_Group2Group9,DIF_b_Group2Group10,DIF_b_Group3Group4,DIF_b_Group3Group5,DIF_b_Group3Group6,DIF_b_Group3Group7,DIF_b_Group3Group8,DIF_b_Group3Group9,DIF_b_Group3Group10,DIF_b_Group4Group5,DIF_b_Group4Group6,DIF_b_Group4Group7,DIF_b_Group4Group8,DIF_b_Group4Group9,DIF_b_Group4Group10,DIF_b_Group5Group6,DIF_b_Group5Group7,DIF_b_Group5Group8,DIF_b_Group5Group9,DIF_b_Group5Group10,DIF_b_Group6Group7,DIF_b_Group6Group8,DIF_b_Group6Group9,DIF_b_Group6Group10,DIF_b_Group7Group8,DIF_b_Group7Group9,DIF_b_Group7Group10,DIF_b_Group8Group9,DIF_b_Group8Group10,DIF_b_Group9Group10
4.564251e-05,0.024698092,0.024676438,0.024703158,0.02469268,0.024677454,0.024703516,0.024718082,0.024719547,0.024693938,0.024692072,0.024687504,0.024671007,0.024734167,0.024662744,0.024712108,0.024709376,0.025982963,0.023146441,0.021571497,0.024753839,0.024530843,0.02527223,0.025210168,0.026114333,0.025117708,0.028932458,0.026310218,0.023601074,0.024227709,0.017305957,0.02670902,0.024844734,0.023797523,0.026442248,0.023397168,0.023629384,0.025703283,0.024077909,0.024118843,0.026087336,0.029651433,0.023167742,0.026394315,0.024846662,4.33889e-05,0.007995434,0.00801076,0.008962925,0.008198211,0.008120497,0.007874181,0.0075563965,0.007695806,0.007995272,0.00800011,0.008969784,0.008194186,0.008119005,0.00788398,0.0075895423,0.007685425,0.009113138,0.012771409,0.009525665,0.011122671,0.011827259,0.011454612,0.009148034,0.011781199,0.011697042,0.0117598,0.008988465,0.01020714,0.01216438,0.012999162,0.008597127,0.009877616,0.009168788,0.012714414,0.011513073,0.011820363,0.010619388,0.010478004,0.0104513215,0.010918153,0.013016139,0.010445862,0.011842812,0.0098434035
2.9689358e-05,0.03362263,0.03361849,0.033625666,0.033625413,0.033621117,0.033626065,0.03362954,0.03363139,0.033624,0.033622406,0.033621047,0.03361659,0.033633552,0.033616263,0.03362773,0.033625577,0.038831115,0.031870935,0.032387745,0.035150956,0.034151588,0.03941007,0.03845813,0.036997445,0.03652275,0.03995053,0.03437842,0.030895622,0.040381033,0.025825491,0.036496535,0.03803594,0.037997108,0.03752807,0.034116298,0.033684745,0.035336968,0.034445614,0.035071656,0.035579793,0.039868794,0.030600592,0.035880055,0.036924783,2.8529532e-05,0.0092342775,0.008733955,0.009352118,0.00910226,0.009086146,0.008051455,0.008157134,0.008772581,0.009236084,0.008742336,0.009343457,0.009108424,0.009072593,0.00806559,0.008172788,0.008763634,0.009632951,0.010436763,0.008562623,0.011089625,0.013609654,0.011281092,0.01062722,0.012169594,0.013027986,0.012314673,0.009796009,0.010327425,0.012565242,0.014249487,0.01127956,0.010296988,0.010708884,0.014219677,0.012189635,0.011799582,0.010883702,0.0117536,0.010717654,0.011872872,0.013317871,0.0119149415,0.012147105,0.009934649
1.7288376e-05,0.030181201,0.030186448,0.030184606,0.030185584,0.030190209,0.030183917,0.03018084,0.030183902,0.0301843,0.030184455,0.030185325,0.030188238,0.030179558,0.03018997,0.030180823,0.030180804,0.035331246,0.029205645,0.028744558,0.03254169,0.03103187,0.035976283,0.03514946,0.033097435,0.033308744,0.036973473,0.03205765,0.028527565,0.036026288,0.023342352,0.034445323,0.03412601,0.035198435,0.034668375,0.032168034,0.030841798,0.03263117,0.031944677,0.032117512,0.032947436,0.036518943,0.028002873,0.033129174,0.03385742,1.6764676e-05,0.005972302,0.0057770046,0.006061982,0.0059447424,0.006021313,0.005311231,0.0054723797,0.0055523072,0.0059772413,0.005786022,0.0060602273,0.005952674,0.0060082693,0.0053165494,0.0054814727,0.005544247,0.0061254078,0.007010323,0.0057513416,0.007355681,0.009283871,0.0074778767,0.0072472664,0.008109481,0.008577362,0.0081896,0.0065170275,0.006667586,0.0085007725,0.00953234,0.0073131123,0.0066565643,0.0072129536,0.010052235,0.008013177,0.007905743,0.0073723216,0.007910329,0.006929459,0.007856075,0.008999341,0.008012696,0.007890797,0.00666981
5.9299404e-15,0.99996287,0.99996287,0.99996287,0.99996287,0.9999629,0.9999628,0.9999628,0.99996275,0.99996287,0.99996287,0.9999629,0.9999629,0.9999628,0.999963,0.9999628,0.9999628,0.99782187,0.9967585,0.99896896,0.9956595,0.9979405,0.9978589,0.9981951,0.9987215,0.99952674,0.9988075,0.99922013,0.99473524,0.9962535,0.9993204,0.99786246,0.9963234,0.99612314,0.9991405,0.9945569,0.9988091,0.9966667,0.99919176,0.9987046,0.99415183,0.99799424,0.9982098,0.9915346,0.9976681,3.738625e-15,0.98015535,0.99910796,0.99429226,0.99920696,0.999428,0.9990759,0.9971817,0.9982748,0.9799635,0.99911886,0.99430424,0.9991986,0.9994283,0.9990778,0.9972168,0.99824613,0.99336624,0.906507,0.9931774,0.98994774,0.9697773,0.8236655,0.9797243,0.9839256,0.97064483,0.9916076,0.9864773,0.76870143,0.97799414,0.9071206,0.99046993,0.94619906,0.9843592,0.94324595,0.9933246,0.9947421,0.90056485,0.86501825,0.8986218,0.9444946,0.96480393,0.9220956,0.9808154,0.9712536
6.828996e-06,0.032702964,0.03272121,0.03271031,0.032712243,0.032724135,0.032711454,0.03269577,0.032703068,0.032709457,0.032713465,0.03271449,0.032730628,0.032689717,0.032735053,0.032699347,0.032698836,0.03627761,0.030489478,0.029264975,0.034026008,0.034841426,0.03672205,0.037141494,0.035410907,0.036025383,0.041127283,0.035097957,0.030550128,0.035175838,0.02562531,0.039316434,0.032509275,0.037676625,0.038741715,0.035246123,0.03260995,0.035944253,0.03556787,0.03520829,0.034946248,0.039107803,0.031339563,0.035639197,0.03611962,6.839373e-06,0.002169654,0.0022877916,0.0023108888,0.002236093,0.0023395405,0.002171111,0.0021662912,0.002011283,0.0021801386,0.002297097,0.0023083475,0.0022415179,0.0023301956,0.002167188,0.0021688552,0.0020088372,0.002226186,0.0031558943,0.0026314196,0.003056344,0.0039672283,0.0031950772,0.0030227602,0.0033188863,0.0032245168,0.0031463916,0.0026794188,0.0026175822,0.003754174,0.0039976044,0.0026783103,0.002600513,0.00290806,0.0043193405,0.0032624258,0.0031840738,0.0029404599,0.0031516156,0.0027133082,0.0031471723,0.0037424897,0.0033569804,0.0030048594,0.0027560447
1.5520591e-08,0.9770988,0.97704774,0.97708666,0.9770981,0.97703344,0.97710997,0.97713554,0.9771451,0.97709095,0.97706276,0.9770805,0.97702336,0.9771728,0.97700834,0.9771291,0.9771267,0.8976888,0.91904634,0.9224429,0.8719833,0.92703354,0.9022407,0.9192008,0.92253286,0.9384518,0.9013124,0.9370721,0.7728681,0.89337474,0.95612824,0.90149635,0.9095322,0.89144194,0.91997117,0.83841354,0.919609,0.90916204,0.9428518,0.92961115,0.86359483,0.92686766,0.9297315,0.88167167,0.87515396,1.7225732e-08,0.9934084,0.9991607,0.99710613,0.9992094,0.99934125,0.99913216,0.99784356,0.9980741,0.9934332,0.9991733,0.997127,0.99920714,0.99934304,0.9991332,0.99786276,0.99807817,0.9975094,0.96849984,0.99801123,0.9923589,0.9790596,0.9836012,0.9885423,0.9916895,0.9883484,0.9930414,0.9932866,0.9311732,0.9802005,0.9825609,0.98525476,0.97288454,0.9732051,0.9824115,0.9935908,0.99347335,0.9750651,0.9820085,0.9838884,0.9694351,0.9892053,0.9873149,0.99071926,0.9833509
1.37206835e-05,0.01575688,0.015749047,0.015760487,0.015758388,0.015750706,0.015760865,0.01576689,0.015766934,0.015757682,0.01575652,0.015753351,0.015746664,0.015773563,0.015743915,0.015764661,0.015763253,0.01756095,0.016642783,0.014466741,0.015539403,0.01653048,0.017670002,0.017337833,0.018840479,0.016679399,0.019172603,0.01522396,0.014700326,0.019455351,0.01132089,0.016421484,0.018208273,0.019336127,0.018185928,0.01662479,0.01652377,0.01594303,0.016482493,0.01668447,0.01634686,0.018974066,0.013445801,0.014783393,0.018275177,1.4206625e-05,0.009963018,0.009079321,0.0096694045,0.008753736,0.008921835,0.009193642,0.008044687,0.008631039,0.009968226,0.009095475,0.009638353,0.00873536,0.008902849,0.00921186,0.0080530215,0.0086671915,0.008675064,0.011298748,0.00875338,0.010562536,0.012275511,0.011129843,0.009891542,0.0120958015,0.011306697,0.011015474,0.009938927,0.009844468,0.010668482,0.013315289,0.010820442,0.009320159,0.01179045,0.012568655,0.011098628,0.011013033,0.009906225,0.011128841,0.010756765,0.011425249,0.011291809,0.011685591,0.011318558,0.00864096
2.7952075e-07,0.012791283,0.012786478,0.012792662,0.012791536,0.012787844,0.012795781,0.012795389,0.012799168,0.012793506,0.012793527,0.012788502,0.012786232,0.012802144,0.012784559,0.0127977505,0.012795925,0.013591339,0.010826278,0.011073098,0.012589523,0.012531335,0.012691198,0.013516097,0.013015551,0.014579543,0.017036445,0.014387217,0.0113077145,0.011617448,0.008962132,0.015459867,0.011374214,0.014188578,0.014684717,0.014520485,0.012462726,0.012979589,0.014225454,0.012921554,0.013797803,0.0132196285,0.011915548,0.011858151,0.013826791,2.523861e-07,0.00076579803,0.0008706626,0.00085557974,0.00080111803,0.0007896236,0.00075279106,0.00081040495,0.000801113,0.00077185634,0.0008741494,0.0008533907,0.00080137956,0.00079011277,0.00075499096,0.0008072123,0.00081033475,0.0005327357,0.0010924401,0.0008766363,0.00075475615,0.0010424276,0.0010008181,0.0010640521,0.0010561117,0.0009987857,0.00067010446,0.0010135795,0.00076466607,0.0009566529,0.0011336296,0.0007092689,0.00062688143,0.0011381458,0.0011400476,0.0008974783,0.00080088165,0.0009293819,0.0009261696,0.00081392785,0.0011716065,0.001107992,0.00091683335,0.00079065847,0.0008857631
1.3913516e-09,0.0031274902,0.0031281204,0.0031273165,0.0031277149,0.0031292834,0.0031275032,0.003126019,0.0031269554,0.003128421,0.0031286501,0.0031280646,0.003128803,0.0031261302,0.003129068,0.0031274247,0.0031277756,0.0033503484,0.0027447802,0.0025362025,0.0031160193,0.0030004403,0.002871678,0.0032110843,0.0031335065,0.0036576584,0.004062236,0.003488821,0.0028001636,0.0027614548,0.0018402529,0.0040160394,0.002991635,0.00366888,0.0035505684,0.0040453197,0.0030390627,0.0030545034,0.0036929445,0.0032965022,0.003819663,0.0030788875,0.0027944397,0.0026091863,0.0035757397,1.1759654e-09,0.00079134054,0.0008418376,0.000849924,0.00069178,0.0006682578,0.00077600067,0.0007331017,0.000747995,0.0007957242,0.0008455966,0.0008472557,0.00069270853,0.00067068875,0.0007790749,0.0007275453,0.0007576591,0.0003456548,0.0008828128,0.00076332304,0.000497464,0.0006593401,0.0007557097,0.00080086564,0.0008028945,0.0006585422,0.00041782958,0.00093922194,0.0006144055,0.00054852484,0.00077317364,0.0005074905,0.00039593797,0.0010218067,0.00075412117,0.00059772574,0.0004846801,0.0007004693,0.0007418047,0.00059448736,0.0009021148,0.0007356757,0.00064330467,0.00051853113,0.0007017054
2.9093007e-06,0.04393981,0.043895982,0.04394796,0.043925293,0.043893326,0.0439533,0.043973375,0.043977987,0.04393217,0.043930702,0.043917198,0.043891687,0.044005025,0.043874238,0.043970186,0.043961138,0.043783136,0.031432435,0.029391991,0.0361472,0.048424028,0.043275796,0.04952697,0.04638662,0.048303317,0.052255243,0.04327989,0.030888125,0.03949747,0.036187645,0.049648955,0.030862963,0.04012644,0.050876625,0.040569328,0.033940405,0.04576198,0.044825755,0.043138187,0.043067195,0.04755495,0.043233525,0.048214503,0.04252,2.3681848e-06,0.0047766813,0.0066381604,0.0068104677,0.0061795935,0.0065840287,0.006948023,0.0056083095,0.006200646,0.00479558,0.0066338484,0.006821338,0.0061607324,0.0065867202,0.0069323364,0.00559982,0.0062256427,0.005989251,0.0064525646,0.008042228,0.00802999,0.00863742,0.008764209,0.008337104,0.00826975,0.006627934,0.008967669,0.0064606713,0.005775053,0.00972424,0.009342875,0.0058405832,0.0059186607,0.006946243,0.007441815,0.007903376,0.007819861,0.007315029,0.0058973236,0.00680509,0.0070327907,0.008972705,0.006724293,0.009114295,0.007964978
