N,Perc,Group,TP,FP,TN,FN,TPR,FPR
1000,20,DIF_a,3636,2626,34404,284,0.9275510204081633,0.07091547394004862
1000,20,DIF_b,7259,816,32854,21,0.9971153846153846,0.024235224235224236
1000,40,DIF_a,5765,6207,26513,1115,0.8379360465116279,0.189700488997555
1000,40,DIF_b,13295,2211,23309,785,0.9442471590909091,0.08663793103448277
2000,20,DIF_a,3492,2133,36327,348,0.909375,0.05546021840873635
2000,20,DIF_b,7499,748,34032,21,0.9972074468085106,0.021506612995974696
2000,40,DIF_a,6710,4588,30802,650,0.9116847826086957,0.12964114156541395
2000,40,DIF_b,15023,1799,25751,177,0.9883552631578948,0.0652994555353902
4000,20,DIF_a,3342,2164,36746,498,0.8703125,0.055615523001799026
4000,20,DIF_b,7600,760,34390,0,1.0,0.021621621621621623
4000,40,DIF_a,6788,4501,31049,412,0.9427777777777778,0.12661040787623065
4000,40,DIF_b,15068,1678,25872,132,0.9913157894736843,0.06090744101633394
