DIF_a_Group1Group2,DIF_a_Group1Group3,DIF_a_Group2Group3,DIF_b_Group1Group2,DIF_b_Group1Group3,DIF_b_Group2Group3
0.1271874,0.12724027,0.11375452,0.055381387,0.055394925,0.054990835
0.12288633,0.122904085,0.11127882,0.045084722,0.04507902,0.043244924
0.5267572,0.5268741,0.46118388,0.9842129,0.98420495,0.96980405
0.7237976,0.723873,0.64620304,0.9963595,0.99635184,0.99084455
0.14796925,0.14803123,0.1288155,0.057274107,0.057292502,0.05576648
0.13758488,0.13759607,0.12214619,0.059020963,0.05899683,0.056476563
0.13043016,0.13042265,0.116567284,0.05747481,0.05743397,0.05442395
0.39633203,0.39644384,0.35121974,0.9791779,0.97914904,0.96957684
0.12684274,0.1268895,0.11004458,0.09335448,0.09337055,0.095776014
0.47509915,0.4752065,0.41612947,0.98429745,0.9842933,0.9707948
