N,Perc,Group,TP,FP,TN,FN,TPR,FPR
250,20,DIF_a,312,344,2236,18,0.9454545454545454,0.13333333333333333
250,20,DIF_b,452,95,2233,130,0.7766323024054983,0.040807560137457045
250,40,DIF_a,475,599,1633,53,0.8996212121212122,0.26836917562724016
250,40,DIF_b,840,126,1530,264,0.7608695652173914,0.07608695652173914
500,20,DIF_a,341,321,2307,1,0.9970760233918129,0.12214611872146118
500,20,DIF_b,560,66,2310,34,0.9427609427609428,0.027777777777777776
500,40,DIF_a,579,641,1711,9,0.9846938775510204,0.27253401360544216
500,40,DIF_b,1131,53,1711,45,0.9617346938775511,0.030045351473922902
1000,20,DIF_a,348,269,2383,0,1.0,0.10143288084464555
1000,20,DIF_b,594,8,2392,6,0.99,0.0033333333333333335
1000,40,DIF_a,600,640,1760,0,1.0,0.26666666666666666
1000,40,DIF_b,1192,32,1768,8,0.9933333333333333,0.017777777777777778
